CustomerID,top1_feature,top1_shap_value,top2_feature,top2_shap_value,top3_feature,top3_shap_value
BC001,NumOfProducts,-1.0094,Age,-0.835,IsActiveMember,-0.5857
BC002,Age,1.7592,IsActiveMember,0.6768,Balance,-0.4056
BC003,NumOfProducts,-0.8882,IsActiveMember,-0.6832,Tenure,-0.4979
BC004,CreditScore,1.9404,Age,1.8275,IsActiveMember,0.7378
BC005,NumOfProducts,2.8839,Age,-1.021,IsActiveMember,-0.5074
BC006,Age,1.938,IsActiveMember,0.6805,Geography,-0.6281
BC007,NumOfProducts,-1.4683,Gender,-0.7687,IsActiveMember,-0.6398
BC008,Age,1.9084,IsActiveMember,0.7069,Balance,-0.4276
BC009,NumOfProducts,-0.9027,IsActiveMember,-0.6102,Gender,-0.4987
BC010,Age,1.9203,IsActiveMember,0.6405,Balance,-0.4429
BC011,NumOfProducts,-1.0559,Age,-0.9375,IsActiveMember,-0.5875
BC012,Age,1.9282,IsActiveMember,0.6831,Geography,-0.628
BC013,NumOfProducts,-1.0107,IsActiveMember,-0.5841,Gender,-0.5389
BC014,Age,1.7858,IsActiveMember,0.7781,Balance,-0.4287
BC015,NumOfProducts,-0.9161,IsActiveMember,-0.665,Gender,-0.4737
